04:07:46.908  +69:48:44.75 | IC  356, IC  356
04:30:49.186  +64:50:52.52 | NGC  1569, TYC 4073-90-1, NGC  1569
05:03.4  +52:51 | NGC  1708, NGC  1708
05:11:38  +47:41.7 | NGC  1798, NGC  1798
18:33:52.573  +49:16:42.86 | IC 1291, IC 1291
18:39:12.268  +55:38:30.52 | NGC  6691, NGC  6691
18:43:12.429  +60:39:12.13 | NGC  6701, NGC  6701
18:40:05.024  +59:20:02.26 | NGC  6696, NGC  6696
19:05:37.082  +63:56:02.32 | NGC  6762, NGC  6763, NGC  6762
03:16:44.895  +80:47:35.70 | NGC  1184, TYC 4520-773-1, NGC  1184
03:45:17.095  +76:38:17.74 | IC  334, IC  334
04:23:27.102  +75:17:44.05 | NGC  1530, NGC  1530
04:35:03.975  +73:15:44.66 | NGC  1573, NGC  1573
04:32:49.087  +71:52:59.20 | NGC  1560, IC 2062, NGC  1560
04:57:59.118  +68:19:24.91 | IC  396, IC  396
05:25:54.0  +46:29:24 | NGC  1883, NGC  1883
18:37:22.119  +59:38:34.85 | NGC  6687, NGC  6687
18:33:35.40  +59:53:19.7 | NGC  6670, NGC  6670
18:33:34.094  +59:53:17.78 | NGC  6670B, NGC  6670W, 2MFGC 14461
18:33:33.20  +67:08:26.0 | NGC  6677, NGC  6677
18:33.5  +67:07 | NGC  6679, NGC  6679
18:33:10.005  +66:57:32.40 | NGC  6676, NGC  6676
18:33:36.123  +67:06:38.42 | IC 4763, IC 4763
18:30:39.815  +67:59:13.39 | NGC  6667, NGC  6667
18:34:50.244  +70:31:26.00 | NGC  6689, NGC  6690, NGC  6689
18:39:25.00  +73:34:52.0 | NGC  6654A, UGC 11332
18:55:21.826  +72:46:17.15 | NGC  6747, NGC  6747
19:10:53.928  +73:24:36.20 | NGC  6786, NGC  6786
00:47:52.25  +85:19:08.2 | NGC   188  2091, 2MASS J00475225+8519081
00:48:26  +85:15.3 | NGC   188, NGC   188
04:57:21.103  +78:11:19.50 | IC  391, IC  391
04:44:28.453  +75:38:23.09 | IC  381, IC  381
04:43:43.6  +75:36:22 | NGC  1530A, HIJASS J0443+75
04:48:26.849  +73:28:08.71 | NGC  1573A, UGC  3150
18:05:13.982  +46:52:53.53 | NGC  6560, NGC  6560
18:11:01.7  +49:54:43 | NGC  6582, NGC  6582
18:07:00.703  +52:15:36.32 | NGC  6566, NGC  6566
18:16:14.275  +55:35:27.71 | IC 1286, IC 1286
18:05:00.989  +56:15:46.59 | NGC  6562, NGC  6562
18:14:02.520  +61:19:10.25 | NGC  6617, NGC  6617
18:12:33.545  +61:19:55.19 | NGC  6609, NGC  6609
18:12:14.722  +61:19:58.14 | NGC  6607, NGC  6607
18:11:44.370  +61:27:12.13 | NGC  6601, NGC  6601
18:11:13.499  +61:10:50.25 | NGC  6597, NGC  6597
18:10:05.552  +61:08:00.68 | NGC  6594, NGC  6594
18:12:28.857  +61:17:53.12 | NGC  6608, NGC  6608
18:13:46.187  +61:09:26.24 | IC 4708, IC 4708
18:09:50.706  +61:25:18.68 | NGC  6592, NGC  6592
18:00:07.310  +66:36:54.38 | NGC  6552, NGC  6552
18:22:02.871  +66:36:59.62 | NGC  6636, NGC  6636A, NGC  6636
18:13:00.21  +68:21:12.4 | NGC  6622, NGC  6622
18:08:55.986  +69:04:04.28 | NGC  6598, NGC  6598
18:25:27.920  +68:00:20.82 | NGC  6650, NGC  6650
18:12:55.276  +68:21:48.50 | NGC  6621, NGC  6621
18:24:19.695  +71:36:06.75 | NGC  6651, NGC  6651
18:19:46.370  +74:34:06.23 | NGC  6643, NGC  6643
18:24:07.529  +73:10:59.70 | NGC  6654, NGC  6654
